,ds,yhat_upper,yhat
1054,2024-07-11,2.0,1.0
1055,2024-07-12,2.0,1.0
1056,2024-07-13,2.0,1.0
1057,2024-07-14,2.0,1.0
1058,2024-07-15,2.0,1.0
1059,2024-07-16,2.0,1.0
1060,2024-07-17,2.0,1.0
1061,2024-07-18,2.0,1.0
1062,2024-07-19,2.0,1.0
1063,2024-07-20,2.0,1.0
1064,2024-07-21,2.0,1.0
1065,2024-07-22,2.0,1.0
1066,2024-07-23,3.0,2.0
1067,2024-07-24,3.0,2.0
1068,2024-07-25,2.0,1.0
1069,2024-07-26,2.0,1.0
1070,2024-07-27,2.0,1.0
1071,2024-07-28,3.0,1.0
1072,2024-07-29,3.0,2.0
1073,2024-07-30,3.0,2.0
1074,2024-07-31,3.0,2.0
1075,2024-08-01,3.0,1.0
1076,2024-08-02,2.0,1.0
1077,2024-08-03,3.0,2.0
1078,2024-08-04,3.0,2.0
1079,2024-08-05,3.0,2.0
1080,2024-08-06,3.0,2.0
1081,2024-08-07,3.0,2.0
1082,2024-08-08,3.0,2.0
1083,2024-08-09,3.0,1.0
1084,2024-08-10,3.0,2.0
1085,2024-08-11,3.0,2.0
1086,2024-08-12,3.0,2.0
1087,2024-08-13,3.0,2.0
1088,2024-08-14,3.0,2.0
1089,2024-08-15,3.0,2.0
1090,2024-08-16,2.0,1.0
1091,2024-08-17,3.0,2.0
1092,2024-08-18,3.0,1.0
1093,2024-08-19,3.0,2.0
1094,2024-08-20,3.0,2.0
1095,2024-08-21,3.0,2.0
1096,2024-08-22,2.0,1.0
1097,2024-08-23,2.0,1.0
1098,2024-08-24,2.0,1.0
1099,2024-08-25,2.0,1.0
1100,2024-08-26,2.0,1.0
1101,2024-08-27,2.0,1.0
1102,2024-08-28,2.0,1.0
1103,2024-08-29,2.0,1.0
1104,2024-08-30,2.0,1.0
1105,2024-08-31,2.0,1.0
1106,2024-09-01,2.0,1.0
1107,2024-09-02,2.0,1.0
1108,2024-09-03,2.0,1.0
1109,2024-09-04,2.0,1.0
1110,2024-09-05,2.0,1.0
1111,2024-09-06,2.0,1.0
1112,2024-09-07,2.0,1.0
1113,2024-09-08,2.0,1.0
1114,2024-09-09,2.0,1.0
1115,2024-09-10,2.0,1.0
1116,2024-09-11,2.0,1.0
1117,2024-09-12,2.0,1.0
1118,2024-09-13,2.0,1.0
1119,2024-09-14,2.0,1.0
1120,2024-09-15,2.0,1.0
1121,2024-09-16,2.0,1.0
1122,2024-09-17,2.0,1.0
1123,2024-09-18,2.0,1.0
1124,2024-09-19,2.0,1.0
1125,2024-09-20,2.0,0.0
1126,2024-09-21,2.0,1.0
1127,2024-09-22,2.0,1.0
1128,2024-09-23,2.0,1.0
1129,2024-09-24,2.0,1.0
1130,2024-09-25,2.0,1.0
1131,2024-09-26,2.0,1.0
1132,2024-09-27,1.0,0.0
1133,2024-09-28,2.0,1.0
1134,2024-09-29,2.0,1.0
1135,2024-09-30,2.0,1.0
1136,2024-10-01,2.0,1.0
1137,2024-10-02,2.0,1.0
1138,2024-10-03,2.0,1.0
1139,2024-10-04,2.0,0.0
1140,2024-10-05,2.0,1.0
1141,2024-10-06,2.0,1.0
1142,2024-10-07,2.0,1.0
1143,2024-10-08,2.0,1.0
1144,2024-10-09,2.0,1.0
1145,2024-10-10,2.0,1.0
1146,2024-10-11,2.0,1.0
1147,2024-10-12,2.0,1.0
1148,2024-10-13,2.0,1.0
1149,2024-10-14,2.0,1.0
1150,2024-10-15,2.0,1.0
1151,2024-10-16,2.0,1.0
1152,2024-10-17,2.0,1.0
1153,2024-10-18,2.0,1.0
1154,2024-10-19,2.0,1.0
1155,2024-10-20,2.0,1.0
1156,2024-10-21,2.0,1.0
1157,2024-10-22,2.0,1.0
1158,2024-10-23,2.0,1.0
1159,2024-10-24,2.0,1.0
1160,2024-10-25,2.0,1.0
1161,2024-10-26,2.0,1.0
1162,2024-10-27,2.0,1.0
1163,2024-10-28,2.0,1.0
1164,2024-10-29,2.0,1.0
1165,2024-10-30,2.0,1.0
1166,2024-10-31,2.0,1.0
1167,2024-11-01,2.0,1.0
1168,2024-11-02,2.0,1.0
1169,2024-11-03,2.0,1.0
1170,2024-11-04,2.0,1.0
1171,2024-11-05,2.0,1.0
1172,2024-11-06,2.0,1.0
1173,2024-11-07,2.0,1.0
1174,2024-11-08,2.0,1.0
1175,2024-11-09,2.0,1.0
1176,2024-11-10,2.0,1.0
1177,2024-11-11,2.0,1.0
1178,2024-11-12,2.0,1.0
1179,2024-11-13,2.0,1.0
1180,2024-11-14,2.0,1.0
1181,2024-11-15,2.0,1.0
1182,2024-11-16,2.0,1.0
1183,2024-11-17,2.0,1.0
1184,2024-11-18,2.0,1.0
1185,2024-11-19,2.0,1.0
1186,2024-11-20,2.0,1.0
